document_number,publication_date,product_name,hs_codes,countries,html_url,document_title
 2016-00931,01/20/2016,Certain biaxial integral geogrid products,['3926.90.99'],['China'],https://www.federalregister.gov/documents/2016/01/20/2016-00931/certain-biaxial-integral-geogrid-products-from-china-institution-of-antidumping-and-countervailing,Certain Biaxial Integral Geogrid Products From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2016-00618,01/15/2016,Certain new pneumatic off-the-road-tires,"['4011.20.10', '4011.20.50', '4011.61.00', '4011.62.00', '4011.63.00', '4011.69.00', '4011.92.00', '4011.93.40', '4011.93.80', '4011.94.40', '4011.94.80', '8431.49.90', '8709.90.00', '8716.90.10']","['China', 'India', 'Sri lanka']",https://www.federalregister.gov/documents/2016/01/15/2016-00618/certain-new-pneumatic-off-the-road-tires-from-china-india-and-sri-lanka-institution-of-antidumping,"Certain New Pneumatic Off-the-Road-Tires From China, India, and Sri Lanka; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2015-32083,12/22/2015,Large residential washers,['8450.20.00'],['China'],https://www.federalregister.gov/documents/2015/12/22/2015-32083/large-residential-washers-from-china-institution-of-an-antidumping-duty-investigation-and-scheduling,Large Residential Washers From China; Institution of an Antidumping Duty investigation and Scheduling of a Preliminary Phase Investigation
 2015-27956,11/03/2015,Certain iron mechanical transfer drive components,"['8431.39.00', '8483.50.40', '8483.50.60', '8483.50.90', '8483.90.80']","['Canada', 'China']",https://www.federalregister.gov/documents/2015/11/03/2015-27956/certain-iron-mechanical-transfer-drive-components-from-canada-and-china-institution-of-antidumping,Certain Iron Mechanical Transfer Drive Components From Canada and China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2015-25469,10/07/2015,Welded stainless steel pressure pipe,"['7306.40.50', '7306.40.10']","['India institution of antidumping', 'Countervailing duty investigations', 'Scheduling of preliminary phase investigations']",https://www.federalregister.gov/documents/2015/10/07/2015-25469/welded-stainless-steel-pressure-pipe-from-india-institution-of-antidumping-and-countervailing-duty,Welded Stainless Steel Pressure Pipe From India Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2015-27955,11/03/2015,Circular welded carbon-quality steel pipe,"['7306.19.10', '7306.19.51', '7306.30.10', '7306.30.50', '7306.50.10', '7306.50.50']","['Oman', 'Pakistan', 'The philippines', 'The united arab emirates', 'Vietnam']",https://www.federalregister.gov/documents/2015/11/03/2015-27955/circular-welded-carbon-quality-steel-pipe-from-oman-pakistan-the-philippines-the-united-arab,"Circular Welded Carbon-Quality Steel Pipe From Oman, Pakistan, the Philippines, the United Arab Emirates, and Vietnam"
 2015-20266,08/18/2015,Certain hot-rolled steel flat products,"['7208.10.15', '7208.10.30', '7208.10.60', '7208.25.30', '7208.25.60', '7208.26.00', '7208.27.00', '7208.36.00', '7208.37.00', '7208.38.00', '7208.39.00', '7208.40.60', '7208.53.00', '7208.54.00', '7208.90.00', '7210.70.30', '7210.90.90', '7211.14.00', '7211.19.15', '7211.19.20', '7211.19.30', '7211.19.45', '7211.19.60', '7211.19.75', '7211.90.00', '7212.40.10', '7212.40.50', '7212.50.00', '7225.11.00', '7225.19.00', '7225.30.30', '7225.30.70', '7225.40.70', '7225.99.00', '7226.11.10', '7226.11.90', '7226.19.10', '7226.19.90', '7226.91.50', '7226.91.70', '7226.91.80', '7226.99.01']","['Australia', 'Brazil', 'Japan', 'Korea', 'The netherlands', 'Turkey', 'The united kingdom']",https://www.federalregister.gov/documents/2015/08/18/2015-20266/certain-hot-rolled-steel-flat-products-from-australia-brazil-japan-korea-the-netherlands-turkey-and,"Certain Hot-Rolled Steel Flat Products from Australia, Brazil, Japan, Korea, the Netherlands, Turkey, and the United Kingdom; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2015-20181,08/17/2015,Certain magnesia carbon bricks,[],"['China', 'Mexico']",https://www.federalregister.gov/documents/2015/08/17/2015-20181/certain-magnesia-carbon-bricks-from-china-and-mexico-correction-to-notice-of-institution-of,Certain Magnesia Carbon Bricks from China and Mexico; Correction to Notice of Institution of Five-Year Reviews
 2015-18951,08/03/2015,Cold-rolled steel flat products,"['7209.15.00', '7209.16.00', '7209.17.00', '7209.18.15', '7209.18.25', '7209.18.60', '7209.25.00', '7209.26.00', '7209.27.00', '7209.28.00', '7209.90.00', '7210.70.30', '7211.23.15', '7211.23.20', '7211.23.30', '7211.23.45', '7211.23.60', '7211.29.20', '7211.29.45', '7211.29.60', '7211.90.00', '7212.40.10', '7212.40.50', '7225.50.60', '7225.50.80', '7225.99.00', '7226.92.50', '7226.92.70', '7226.92.80']","['Brazil', 'China', 'India', 'Japan', 'Korea', 'Netherlands', 'Russia', 'The united kingdom']",https://www.federalregister.gov/documents/2015/08/03/2015-18951/cold-rolled-steel-flat-products-from-brazil-china-india-japan-korea-netherlands-russia-and-the,"Cold-Rolled Steel Flat Products From Brazil, China, India, Japan, Korea, Netherlands, Russia, and the United Kingdom; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2015-16368,07/02/2015,Hydrofluorocarbon blends and components,"['3824.78.00', '2903.39.20']",['China'],https://www.federalregister.gov/documents/2015/07/02/2015-16368/hydrofluorocarbon-blends-and-components-from-china-institution-of-antidumping-duty-investigation-and,Hydrofluorocarbon Blends and Components From China; Institution of Antidumping Duty Investigation and Scheduling of Preliminary Phase Investigation
 2015-18288,07/27/2015,Heavy walled rectangular welded carbon steel pipes and tubes,['7306.61.10'],"['Korea', 'Mexico', 'Turkey']",https://www.federalregister.gov/documents/2015/07/27/2015-18288/heavy-walled-rectangular-welded-carbon-steel-pipes-and-tubes-from-korea-mexico-and-turkey,"Heavy Walled Rectangular Welded Carbon Steel Pipes and Tubes From Korea, Mexico, and Turkey"
 2015-14028,06/09/2015,Certain corrosion-resistant steel products,"['7210.30.00', '7210.41.00', '7210.49.00', '7210.61.00', '7210.69.00', '7210.70.60', '7210.90.10', '7210.90.60', '7210.90.90', '7212.20.00', '7212.30.10', '7212.30.30', '7212.30.50', '7212.40.10', '7212.40.50', '7212.50.00', '7212.60.00', '7215.90.10', '7215.90.30', '7215.90.50', '7217.20.15', '7217.30.15', '7217.90.10', '7217.90.50', '7225.91.00', '7225.92.00', '7226.99.01']","['China', 'India', 'Italy', 'Korea', 'Taiwan']",https://www.federalregister.gov/documents/2015/06/09/2015-14028/certain-corrosion-resistant-steel-products-from-china-india-italy-korea-and-taiwan-institution-of,"Certain Corrosion-Resistant Steel Products From China, India, Italy, Korea, and Taiwan; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2015-03971,02/26/2015,Silicomanganese,['7202.30.00'],['Australia'],https://www.federalregister.gov/documents/2015/02/26/2015-03971/silicomanganese-from-australia-institution-of-antidumping-duty-investigation-and-scheduling-of,Silicomanganese From Australia; Institution of Antidumping Duty Investigation and Scheduling of Preliminary Phase Investigation
 2015-01417,01/27/2015,Certain uncoated paper,[],"['Australia', 'Brazil', 'China', 'Indonesia', 'Portugal']",https://www.federalregister.gov/documents/2015/01/27/2015-01417/certain-uncoated-paper-from-australia-brazil-china-indonesia-and-portugal-institution-of-antidumping,"Certain Uncoated Paper From Australia, Brazil, China, Indonesia, and Portugal; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations."
 2015-01264,01/26/2015,Sugar,[],['Mexico'],https://www.federalregister.gov/documents/2015/01/26/2015-01264/sugar-from-mexico-institution-of-reviews-of-agreements-suspending-antidumping-duty-and,Sugar from Mexico; Institution of Reviews of Agreements Suspending Antidumping Duty and Countervailing Duty Investigations
 2014-27227,11/18/2014,Melamine,['2933.61.00'],"['China', 'Trinidad', 'Tobago']",https://www.federalregister.gov/documents/2014/11/18/2014-27227/melamine-from-china-and-trinidad-and-tobago,Melamine From China and Trinidad and Tobago
 2014-25156,10/23/2014,Certain welded line pipe,[],"['Korea', 'Turkey']",https://www.federalregister.gov/documents/2014/10/23/2014-25156/certain-welded-line-pipe-from-korea-and-turkey-institution-of-antidumping-and-countervailing-duty,Certain Welded Line Pipe From Korea and Turkey; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2014-20780,09/02/2014,Boltless steel shelving units prepackaged for sale,"['9403.10.00', '9403.20.00']",['China'],https://www.federalregister.gov/documents/2014/09/02/2014-20780/boltless-steel-shelving-units-prepackaged-for-sale-from-china-institution-of-antidumping-and,Boltless Steel Shelving Units Prepackaged for Sale From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2014-13342,06/09/2014,Certain passenger vehicle and light truck tires,"['4011.10.10', '4011.10.50', '4011.20.10', '4011.20.50', '4011.99.45', '4011.99.85']",['China'],https://www.federalregister.gov/documents/2014/06/09/2014-13342/certain-passenger-vehicle-and-light-truck-tires-from-china-institution-of-antidumping-and,Certain Passenger Vehicle and Light Truck Tires From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2014-12854,06/04/2014,Certain steel nails,"['7317.00.55', '7317.00.65', '7317.00.75']","['India', 'Korea', 'Malaysia', 'Oman', 'Taiwan', 'Turkey', 'Vietnam']",https://www.federalregister.gov/documents/2014/06/04/2014-12854/certain-steel-nails-from-india-korea-malaysia-oman-taiwan-turkey-and-vietnam-institution-of,"Certain Steel Nails From India, Korea, Malaysia, Oman, Taiwan, Turkey, and Vietnam; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2014-09691,04/29/2014,53-foot domestic dry containers,['8609.00.00'],['China'],https://www.federalregister.gov/documents/2014/04/29/2014-09691/53-foot-domestic-dry-containers-from-china-institution-of-antidumping-and-countervailing-duty,53-Foot Domestic Dry Containers From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2014-07420,04/03/2014,Sugar,"['1701.12.10', '1701.12.50', '1701.13.05', '1701.13.10', '1701.13.20', '1701.13.50', '1701.14.05', '1701.14.10', '1701.14.20', '1701.14.50', '1701.91.05', '1701.91.10', '1701.91.30', '1701.91.42', '1701.91.44', '1701.91.48', '1701.99.05', '1701.99.10', '1701.99.50', '1702.90.05', '1702.90.10', '1702.90.20', '1702.90.35', '1702.90.40', '2106.90.42', '2106.90.44', '2106.90.46']",['Mexico'],https://www.federalregister.gov/documents/2014/04/03/2014-07420/sugar-from-mexico-institution-of-antidumping-and-countervailing-duty-investigations-and-scheduling,Sugar From Mexico; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2014-02494,02/06/2014,Carbon and certain alloy steel wire rod,"['7213.91.30', '7213.91.30', '7213.91.30', '7213.91.30', '7213.91.45', '7213.91.60', '7213.99.00', '7227.20.00', '7227.20.00', '7227.90.60', '7227.90.60', '7727.90.60', '7227.90.60']",['China'],https://www.federalregister.gov/documents/2014/02/06/2014-02494/carbon-and-certain-alloy-steel-wire-rod-from-china-institution-of-antidumping-and-countervailing,Carbon and Certain Alloy Steel Wire Rod From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2014-00130,01/08/2014,Certain crystalline silicon photovoltaic products,"['8541.40.60', '8541.40.60', '8541.40.60']","['China', 'Taiwan']",https://www.federalregister.gov/documents/2014/01/08/2014-00130/certain-crystalline-silicon-photovoltaic-products-from-china-and-taiwan-institution-of-antidumping,Certain Crystalline Silicon Photovoltaic Products From China and Taiwan; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2013-30612,12/24/2013,Calcium hypochlorite,['2828.10.00'],"['China: institution of antidumping', 'Countervailing duty investigations', 'Scheduling of preliminary phase investigations']",https://www.federalregister.gov/documents/2013/12/24/2013-30612/calcium-hypochlorite-from-china-institution-of-antidumping-and-countervailing-duty-investigations,Calcium Hypochlorite From China: Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2013-25315,10/28/2013,"1,1,1,2-tetrafluoroethane",['2903.39.20'],['China'],https://www.federalregister.gov/documents/2013/10/28/2013-25315/1112-tetrafluoroethane-from-china-institution-of-antidumping-and-countervailing-duty-investigations,"1,1,1,2-Tetrafluoroethane From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2013-24337,10/22/2013,Non-oriented electrical steel,"['7225.19.00', '7226.19.10', '7226.19.90', '7225.50.80', '7225.99.00', '7226.92.50', '7226.92.70', '7226.92.80', '7226.99.01']","['China', 'Germany', 'Japan', 'Korea', 'Sweden', 'Taiwan institution of antidumping', 'Countervailing duty investigations', 'Scheduling of preliminary phase investigations']",https://www.federalregister.gov/documents/2013/10/22/2013-24337/non-oriented-electrical-steel-from-china-germany-japan-korea-sweden-and-taiwan-institution-of,"Non-Oriented Electrical Steel From China, Germany, Japan, Korea, Sweden, and Taiwan Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2013-23277,09/25/2013,Grain-oriented electrical steel,"['7225.11.00', '7226.11.10', '7226.11.90']","['China', 'Czech republic', 'Germany', 'Japan', 'Korea', 'Poland', 'Russia']",https://www.federalregister.gov/documents/2013/09/25/2013-23277/grain-oriented-electrical-steel-from-china-czech-republic-germany-japan-korea-poland-and-russia,"Grain-Oriented Electrical Steel From China, Czech Republic, Germany, Japan, Korea, Poland, and Russia; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2013-22896,09/20/2013,Monosodium glutamate,['2922.42.10'],"['China', 'Indonesia']",https://www.federalregister.gov/documents/2013/09/20/2013-22896/monosodium-glutamate-from-china-and-indonesia-institution-of-antidumping-and-countervailing-duty,Monosodium Glutamate from China and Indonesia; Institution of Antidumping and Countervailing Duty investigations and Scheduling of Preliminary Phase Investigations
 2013-21903,09/10/2013,Chlorinated isocyanurates,"['2933.69.60', '3808.99.95']","['China', 'Japan']",https://www.federalregister.gov/documents/2013/09/10/2013-21903/chlorinated-isocyanurates-from-china-and-japan-institution-of-antidumping-and-countervailing-duty,Chlorinated Isocyanurates From China and Japan; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2013-22020,09/11/2013,Steel concrete reinforcing bar,[],"['Mexico', 'Turkey']",https://www.federalregister.gov/documents/2013/09/11/2013-22020/steel-concrete-reinforcing-bar-from-mexico-and-turkey-institution-of-antidumping-and-countervailing,Steel Concrete Reinforcing Bar From Mexico and Turkey; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2013-19295,08/09/2013,Diamond sawblades and parts thereof,"['8202.39.00', '8206.00.00']",['China'],https://www.federalregister.gov/documents/2013/08/09/2013-19295/request-for-comments-concerning-the-institution-of-a-review-concerning-the-commissions-affirmative,Request for Comments Concerning the Institution of a Review Concerning the Commission's Affirmative Determination in Investigation No. 731-TA-1092 (Final); Diamond Sawblades and Parts Thereof From China
 2013-17871,07/25/2013,Ferrosilicon,"['7202.21.10', '7202.21.50', '7202.21.75', '7202.21.90', '7202.29.00']","['Russia', 'Venezuela']",https://www.federalregister.gov/documents/2013/07/25/2013-17871/ferrosilicon-from-russia-and-venezuela-institution-of-antidumping-duty-investigations-and-scheduling,Ferrosilicon From Russia and Venezuela; Institution of Antidumping Duty Investigations and Scheduling of Preliminary Phase Investigations.
 2013-16515,07/10/2013,Certain oil country tubular goods,[],"['India', 'Korea', 'Philippines', 'Saudi arabia', 'Taiwan', 'Thailand', 'Turkey', 'Ukraine', 'Vietnam']",https://www.federalregister.gov/documents/2013/07/10/2013-16515/certain-oil-country-tubular-goods-from-india-korea-philippines-saudi-arabia-taiwan-thailand-turkey,"Certain Oil Country Tubular Goods From India, Korea, Philippines, Saudi Arabia, Taiwan, Thailand, Turkey, Ukraine, and Vietnam; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2013-15968,07/03/2013,Certain steel threaded rod,['7318.15.50'],"['India', 'Thailand']",https://www.federalregister.gov/documents/2013/07/03/2013-15968/certain-steel-threaded-rod-from-india-and-thailand-institution-of-antidumping-and-countervailing,Certain Steel Threaded Rod From India and Thailand; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2013-12341,05/24/2013,Welded stainless steel pressure pipe,"['7306.40.50', '7306.40.10']","['Malaysia', 'Thailand', 'Vietnam']",https://www.federalregister.gov/documents/2013/05/24/2013-12341/welded-stainless-steel-pressure-pipe-from-malaysia-thailand-and-vietnam-institution-of-antidumping,"Welded Stainless Steel Pressure Pipe From Malaysia, Thailand, and Vietnam; Institution of Antidumping Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2013-10071,04/30/2013,Prestressed concrete steel rail tie wire,['7217.10.80'],"['China', 'Mexico', 'Thailand']",https://www.federalregister.gov/documents/2013/04/30/2013-10071/prestressed-concrete-steel-rail-tie-wire-from-china-mexico-and-thailand,"Prestressed Concrete Steel Rail Tie Wire From China, Mexico, and Thailand"
 2013-07584,04/02/2013,"Diffusion-annealed, nickel-plated steel flat-rolled products",[],['Japan'],https://www.federalregister.gov/documents/2013/04/02/2013-07584/diffusion-annealed-nickel-plated-steel-flat-rolled-products-from-japan-institution-of-antidumping,"Diffusion-Annealed, Nickel-Plated Steel Flat-Rolled Products From Japan; Institution of Antidumping Duty Investigation and Scheduling of Preliminary Phase Investigation"
 2012-28419,11/23/2012,Silica bricks and shapes,['6902.20.10'],['China'],https://www.federalregister.gov/documents/2012/11/23/2012-28419/silica-bricks-and-shapes-from-china-institution-of-an-antidumping-duty-investigation-and-scheduling,Silica Bricks and Shapes From China; Institution of an Antidumping Duty Investigation and Scheduling of a Preliminary Phase Investigation
 2012-24286,10/03/2012,Hardwood plywood,[],"['China: institution of antidumping', 'Countervailing duty investigations', 'Scheduling of preliminary phase investigations']",https://www.federalregister.gov/documents/2012/10/03/2012-24286/hardwood-plywood-from-china-institution-of-antidumping-and-countervailing-duty-investigations-and,Hardwood Plywood From China: Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2012-14158,06/12/2012,Xanthan gum,['3913.90.20'],"['Austria', 'China']",https://www.federalregister.gov/documents/2012/06/12/2012-14158/xanthan-gum-from-austria-and-china-institution-of-antidumping-duty-investigations-and-scheduling-of,Xanthan Gum From Austria and China; Institution of Antidumping Duty Investigations and Scheduling of Preliminary Phase Investigations
 2012-5480,03/07/2012,Drawn stainless steel sinks,[],['China'],https://www.federalregister.gov/documents/2012/03/07/2012-5480/drawn-stainless-steel-sinks-from-china-institution-and-scheduling-of-preliminary-phase-antidumping,Drawn Stainless Steel Sinks From China; Institution and Scheduling of Preliminary Phase Antidumping and Countervailing Duty Investigations
 2012-120,01/09/2012,Large residential washers,"['8450.20.00', '8450.20.00', '8450.11.00', '8450.90.20', '8450.90.60']","['Korea', 'Mexico']",https://www.federalregister.gov/documents/2012/01/09/2012-120/large-residential-washers-from-korea-and-mexico-institution-of-antidumping-and-countervailing-duty,Large Residential Washers From Korea and Mexico; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2012-15,01/06/2012,Utility scale wind towers,['7308.20.00'],"['China', 'Vietnam']",https://www.federalregister.gov/documents/2012/01/06/2012-15/utility-scale-wind-towers-from-china-and-vietnam-institution-of-antidumping-and-countervailing-duty,Utility Scale Wind Towers From China and Vietnam; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2012-17,01/06/2012,Steel wire garment hangers,[],"['Taiwan', 'Vietnam']",https://www.federalregister.gov/documents/2012/01/06/2012-17/steel-wire-garment-hangers-from-taiwan-and-vietnam-institution-of-antidumping-and-countervailing,Steel Wire Garment Hangers From Taiwan and Vietnam; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
